track_id,track_name,primary_artist_id,track_popularity,album_name,duration_ms,is_explicit
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,,90,SOS,201800,True
040I32EKLxQrkuxQu1pqvT,Saturn,,84,SOS Deluxe: LANA,186191,False
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,,85,SOS,153946,False
4PMqSO5qyjpvzhlLI5GnID,Good Days,,85,SOS,278480,True
3U3hFkMr0Q90pD24EkE3Pr,BMF,,87,SOS Deluxe: LANA,180746,True
6koKhrBBcExADvWuOgceNZ,Open Arms (feat. Travis Scott),,84,SOS,239613,False
3aSWXU6owkZeVhh94XxEWO,30 For 30 (with Kendrick Lamar),,86,SOS Deluxe: LANA,278277,True
5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,,86,SOS,180853,True
6qn9YLKt13AGvpq9jfO8py,We Found Love,,86,Talk That Talk,215226,False
7MmG8p0F9N3C4AXdK6o6Eb,Outside (feat. Ellie Goulding),,89,Motion,227266,False
78nx0HDJIFD5xDq2L5420Z,Blessings,,88,Blessings,219650,False
6YUTL4dYpB9xZO5qExPf05,Summer,,88,Motion,222533,False
1gihuPhrLraKYrJMAEONyc,Feel So Close - Radio Edit,,87,18 Months,206413,False
2vlDrKpOC0eSTqTDRcbYyw,This Is What You Came For,,83,96 Months,221900,False
76dIZzTdrNO15mGBrU3MHi,One Kiss (with Dua Lipa),,78,96 Months,214846,False
3ejfcz0QPyV717Vd3ta04V,My Way,,82,96 Months,219159,False
4slBllHFZYlpg3IjeX5CBl,How Deep Is Your Love,,80,96 Months,212495,False
5bcTCxgc7xVfSaMV3RuVke,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",,84,Funk Wav Bounces Vol.1,223413,True
1XGmzt0PVuFgQYYnV2It7A,Payphone,,88,Overexposed Track By Track,231173,True
3TahdwXB4gJRWVAI00Ejqa,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",,73,Hands All Over (Revised Asia Standard Version),201493,False
7oUHzZKNKUTrlU7DYxhQ7v,Maps,,75,V (Asia Tour Edition),189960,False
4llK75pXNWZz6KAho2Gp16,She Will Be Loved - Radio Mix,,86,Songs About Jane: 10th Anniversary Edition,259453,False
6ECp64rv50XVz93WvxXMGF,This Love,,87,Songs About Jane: 10th Anniversary Edition,206200,False
5MI9rnOsAayuxi7pKVydNg,Priceless (feat. LISA),,87,Priceless (feat. LISA),163352,False
3h4T9Bg8OVSUYa6danHeH5,Animals,,76,V (Asia Tour Edition),231013,False
5d6Mjuu2uCGRPYpFjGpCX5,Sugar,,74,V (Asia Tour Edition),235493,True
4cktbXiXOapiLBMprHFErI,Memories,,85,JORDI (Deluxe),189486,False
6cpk00i5TxCqSeqNi2HuIe,One More Night,,82,Overexposed Track By Track,219546,False
5IZXB5IKAD2qlvTPJYDCFB,I Had Some Help (Feat. Morgan Wallen),,88,F-1 Trillion,178205,True
1BDLD4c07q0bmq2VCRsXoE,I Ain't Comin' Back (feat. Post Malone),,82,I’m The Problem,175271,False
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,,85,Hollywood's Bleeding,157560,False
21jGcNKet2qwijlDFuPiPb,Circles,,88,Hollywood's Bleeding,215280,False
2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),,85,THE TORTURED POETS DEPARTMENT,228965,False
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),,84,beerbongs & bentleys,218146,True
6StwwqB84sJeLr7tZDTxEX,Guy For That (Feat. Luke Combs),,81,F-1 Trillion,164011,False
3a1lNhkSLSkpJE4MSHpDu9,Congratulations,,83,Stoney (Deluxe),220293,True
7dt6x5M1jzdTEt8oCbisTK,Better Now,,82,beerbongs & bentleys,231266,True
22VHOlVYBqytsrAqV8yXBK,Dial Drunk (with Post Malone),,81,Dial Drunk (with Post Malone),213817,True
6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,,82,The Lockdown Sessions,202735,False
3PfIrDoz19wz7qK7tYeu62,Don't Start Now,,85,Future Nostalgia,183290,False
5b5cPscqVEMChvDqscVw26,Training Season,,83,Radical Optimism,209487,False
5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),,85,Future Nostalgia,203064,False
3gJAFFELdZyIM8tiwLAikg,Handlebars (feat. Dua Lipa),,85,Ruby,184698,True
76dIZzTdrNO15mGBrU3MHi,One Kiss (with Dua Lipa),,78,96 Months,214846,False
6D8y7Bck8h11byRY88Pt2z,Houdini,,86,Radical Optimism,185917,False
2ekn2ttSfGqwhhate0LSR0,New Rules,,84,Dua Lipa (Deluxe),209320,False
1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,,84,Dance The Night (From Barbie The Album),176579,False
76cy1WJvNGJTj78UqeA5zr,IDGAF,,82,Dua Lipa (Deluxe),217946,True
7lQ8MOhq6IN2w8EYcFNSUk,Without Me,,90,The Eminem Show,290320,True
5Z01UMMf7V1o0MzF86s6WJ,Lose Yourself,,80,Curtain Call: The Hits (Deluxe Edition),326466,True
561jH07mF1jHuk7KlaeF0s,Mockingbird,,88,Encore (Deluxe Version),250760,True
3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,,87,The Marshall Mathers LP,284200,True
15JINEqzVMv3SvJTAXAKED,Love The Way You Lie,,87,Recovery,263373,True
4xkOaSrkexMciUUogZKVTS,Till I Collapse,,86,The Eminem Show,297786,True
4woTEX1wYOTGDqNXuavlRC,Superman,,85,The Eminem Show,350320,True
1CDQzbCz4KSQxHe7LMEgRM,Houdini,,78,The Death of Slim Shady (Coup De Grâce),227032,True
7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD),,84,Music To Be Murdered By,210800,True
3UmaczJpikHgJFyBTAJVoz,Stan,,83,The Marshall Mathers LP,404106,True
0fea68AdmYNygeTGI4RC18,LA CANCIÓN,,90,OASIS,242573,False
2lCkncy6bIB0LTMT7kvrD1,Azul,,86,Colores,205933,False
6JjPBQfI2Y8nIjnm65X6Pw,X (feat. Maluma & Ozuna) - Remix,,86,X (feat. Maluma & Ozuna) [Remix],235746,False
3mg9jYNC1NihbthlglzrWP,+57,,85,+57,298130,True
2beS6dD5rovBxSA1zYoSHR,No Me Conoce - Remix,,85,Famouz,309120,False
7COfe3P7KgfwDwIRB8LIDw,Mi Gente,,79,Vibras,185040,False
25ZAibhr3bdlMCLmubZDVt,QUE PRETENDES,,83,OASIS,222346,False
7hynhxDoDpgMIV12JuVtNa,UN PESO,,82,OASIS,277106,False
3Ga6eKrUFf12ouh9Yw3v2D,Downtown,,80,Downtown,193456,False
58q2HKrzhC3ozto2nDdN4z,I Like It,,80,Invasion of Privacy,253390,True
1htQDV8JxSuXG2QsNj5ttr,Last Friday Night (T.G.I.F.),,82,Teenage Dream,230733,False
2009X8GyWTqyxIdzAEYW6N,The One That Got Away,,80,Teenage Dream,227333,False
1TEjSXPdAakDotj2Wji3PU,Hot N Cold,,77,One Of The Boys,220226,False
1GhbQDYGEOjyFwfT8lojcx,California Gurls,,76,Teenage Dream,234653,False
4jbmgIyjGoXjY01XxatOx6,Dark Horse,,84,PRISM,215672,False
3lXbHd0EoryoQh3vpevNEP,Firework,,78,Teenage Dream,227893,False
6r1ygpKNXg7deq18rzyM7F,Teenage Dream,,76,Teenage Dream,227741,False
27tNWlhdAryQY04Gb2ZhUI,Roar,,83,PRISM,223546,False
5bcTCxgc7xVfSaMV3RuVke,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",,84,Funk Wav Bounces Vol.1,223413,True
1pXrR5Y9OgcIV2JEAl2lCB,I Kissed A Girl,,74,One Of The Boys,179640,False
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),,89,"Oral Fixation, Vol. 2 (Expanded Edition)",218093,False
0DWdj2oZMBFSzRsi2Cvfzf,TQG,,85,MAÑANA SERÁ BONITO,197933,True
6mICuAdrwEjh6Y6lroV2Kg,Chantaje (feat. Maluma),,85,El Dorado,195840,False
3OJDtCdYs8QJnui708tEU3,Soltera,,84,Soltera,214642,False
7jxHeJLVpnP7S08JFF4GBi,"Ciega, Sordomuda",,82,Donde Estan Los Ladrones,267826,False
0KAqMRUSZwzG3dZLdDA4eH,Antologia,,81,Pies Descalzos,254240,False
2lnzGkdtDj5mtlcOW2yRtG,"Whenever, Wherever",,80,Laundry Service,196160,False
5BSclXJTa9B0iURhUjZo50,La Tortura (feat. Alejandro Sanz),,80,"Fijación Oral, Vol. 1",212893,False
1zLBsSVxETQOfINOLYvT5m,GIRL LIKE ME,,80,TRANSLATION,222522,True
7o1Pm9jpH0wFpN5g793Lnq,Can't Remember to Forget You (feat. Rihanna),,80,Shakira. (Expanded Edition) [Spanish Version],206866,False
0TDLuuLlV54CkRRUOahJb4,Titanium (feat. Sia),,86,Nothing but the Beat (Ultimate Edition),245040,False
4TwEdnSiTPDR1vg1QZ5K8W,Beautiful People,,87,Beautiful People,187086,False
2J2Z1SkXYghSajLibnQHOa,Unstoppable,,81,This Is Acting,217746,False
4VrWlk8IQxevMvERoX08iC,Chandelier,,84,1000 Forms Of Fear,216120,False
3e7sxremeOE3wTySiOhGiP,Dusk Till Dawn (feat. Sia) - Radio Edit,,84,Icarus Falls,239000,False
27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,,82,This Is Acting,211666,False
1NpW5kyvO4XrNJ3rnfcNy3,Wild Ones (feat. Sia),,84,Wild Ones,232946,False
6kwAbEjseqBob48jCus7Sz,Elastic Heart,,81,1000 Forms Of Fear,257200,False
378iszndTZAR4dH8kwsLC6,Cheap Thrills (feat. Sean Paul),,78,This Is Acting,224813,False
6bLopGnirdrilrpdVB6Um1,The Greatest,,79,This Is Acting (Deluxe Version),210920,False
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),,88,UTOPIA,191700,True
6gBFPUFcJLzWGx4lenP6h2,goosebumps,,87,Birds In The Trap Sing McKnight,243836,True
6koKhrBBcExADvWuOgceNZ,Open Arms (feat. Travis Scott),,84,SOS,239613,False
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,,86,ASTROWORLD,312820,True
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,,85,HIGHEST IN THE ROOM,175720,True
28drn6tQo95MRvO0jQEo5C,Type Shit,,85,WE DON'T TRUST YOU,228266,True
5wG3HvLhF6Y5KTGlK0IW3J,Trance (with Travis Scott & Young Thug),,85,HEROES & VILLAINS,194786,True
2cYqizR4lgvp4Qu6IQ3qGN,BUTTERFLY EFFECT,,83,ASTROWORLD,190557,False
4kjI1gwQZRKNDkw1nI475M,MY EYES,,84,UTOPIA,251249,True
6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,,83,UTOPIA,211582,True
4QNpBfC0zvjKqPJcyqBy9W,Give Me Everything (feat. Nayer),,90,Planet Pit (Deluxe Version),252306,False
3cHyrEgdyYRjgJKSOiOtcS,Timber,,87,Global Warming: Meltdown (Deluxe Version),204160,False
2bJvI42r8EF3wxjOuDav4r,Time of Our Lives,,88,Globalization,229360,True
4356Typ82hUiFAynbLYbPn,DJ Got Us Fallin' In Love (feat. Pitbull),,87,Raymond v Raymond (Expanded Edition),220800,False
0Hf4aIJpsN4Os2f0y0VqWl,Feel This Moment (feat. Christina Aguilera),,85,Global Warming: Meltdown (Deluxe Version),229506,False
4Y7XAxTANhu3lmnLAzhWJW,Fireball (feat. John Ryan),,84,Globalization,236200,False
62zFEHfAYl5kdHYOivj4BC,International Love (feat. Chris Brown),,84,Planet Pit (Deluxe Version),227280,False
0OPyDgTRuIdCJ9B4bYSths,Hotel Room Service,,80,Pitbull Starring In Rebelution,237600,False
13plQdOoWSSXPRUSZc5FuM,I Know You Want Me (Calle Ocho),,80,Pitbull Starring In Rebelution,237120,False
3rfhI32Il2hVRKDkuGeeen,Hey Baby (Drop It to the Floor) (feat. T-Pain),,82,Planet Pit (Deluxe Version),234453,False
2HRqTpkrJO5ggZyyK6NPWz,Espresso,,90,Short n' Sweet,175459,True
5G2f63n7IPVPPjfNIGih7Q,Taste,,91,Short n' Sweet,157279,False
2tHwzyyOLoWSFqYNjeVMzj,Please Please Please,,87,Short n' Sweet,186365,True
0b0Dz0Gi86SVdBxYeiQcCP,Busy Woman,,90,Short n' Sweet (Deluxe),186612,True
1UHS8Rf6h5Ar3CDWRd3wjF,Bed Chem,,88,Short n' Sweet,171869,False
21B4gaTWnTkuSh77iWEXdS,Juno,,87,Short n' Sweet,223192,True
6dgUya35uo964z7GZXM07g,Nonsense,,87,emails i can't send,163648,False
2Zo1PcszsT9WQ0ANntJbID,Feather,,86,emails i can’t send fwd:,185552,True
102YUQbYmwdBXS7jwamI90,Good Graces,,83,Short n' Sweet,185265,True
1zhvxTuSha22nsUT5Nw8gE,15 Minutes,,84,Short n' Sweet (Deluxe),191519,True
5TRPicyLGbAF2LGBFbHGvO,Flashing Lights,,87,Graduation,237506,True
4EWCNWgDS8707fNSZ1oaA5,Heartless,,86,808s & Heartbreak,211000,False
7rbECVPkY5UODxoOUVKZnA,I Wonder,,85,Graduation,243440,True
3sNVsP50132BTNlImLx70i,Bound 2,,85,Yeezus,229146,True
3DK6m7It6Pw857FcQftMds,Runaway,,84,My Beautiful Dark Twisted Fantasy,547733,True
0mEdbdeRFQwBhN4xfyIeUM,Can't Tell Me Nothing,,84,Graduation,271600,True
2McT2fkH0VDqPsbiB9HWPq,CARNIVAL,,84,VULTURES 1,264334,True
